24.4	21	0.7	0	2.3	220	0	0	0	2000	0	0	0	0	0	6.6	296
-1.1	24	-19.3	0	0	326	0	0	0	2000	0	0	0	0	0	0	332
15.9	86	13.6	0	0	330	0.8	0	0	2000	0	0	0	0	0	0	333
17	79	13.3	0	1.2	184	0	0	0	2000	0	0	0	0	0	3.5	343
13.5	100	13.5	0	0.7	219	0	0	0	2000	0	0	0	0	0	2.5	21
17.8	63	10.6	0	0	198	0	0	0	2000	0	0	0	0	0	0.4	354
17.7	58	9.5	0	1.3	127	0	0	0	2000	0	0	0	0	0	3.6	289
13.7	88	11.7	0	0	58	0	0	0	1546	0	0	0	0	0	0.4	222
14.4	86	12	0	0.3	357	0	0	0	1718	0	0	0	0	0	1.4	357
25.2	29	5.9	0	0	357	0	0	0	2000	0	0	0	0	0	0	357
11.4	0	0	0	0	326	0	0	0	1198	0	0	0	0	0	0	333
-1.6	54	-9.7	0	57.2	357	0	0	0	2000	0	0	0	0	0	57.3	357
13.6	100	13.6	0	0.2	349	0.1	0	0	1723	0	0	0	0	0	0.6	49
-1.3	45	-11.7	0	48.5	354	0	0	0	2000	0	0	0	0	0	57.2	54
37.4	21	11.6	0	1.7	212	0	0	0	2000	0	0	0	0	0	3.8	335
34.6	35	16.8	0	0	357	0	0	0	2000	0	0	0	0	0	0	357
0	0	0	1	1.6	171	0	0	0	2000	0	0	4	0	0	4.6	333
0	0	0	0	1	148	0	0	0	2000	0	0	0	0	0	2.1	284
10	53	1	0	0.2	246	0	0	0	1280	0	0	0	0	0	1.4	54
0	0	0	0	1.3	171	0	0	0	2000	0	0	0	0	0	4.4	281
1.1	27	-15.6	0	0.7	171	0	0	0	2000	0	0	0	0	0	2.4	226
-7.9	56	-15.2	0	0.8	319	0	0	0	2000	0	0	0	0	0	6.4	23
2.4	25	-15.5	0	0.9	124	0	0	0	2000	0	0	0	0	0	3	280
0	0	0	0	0.2	40	0	0	0	2000	0	0	0	0	0	0.7	223
5.6	20	-15.8	0	1.5	64	0	0	0	2000	0	0	0	0	0	5.8	243
5.6	26	-12.6	0	0.5	353	0	0	0	2000	0	0	0	0	0	1.6	126
3.8	26	-13.8	0	15.3	69	0	0	0	2000	0	0	0	0	0	57.3	215
4.1	26	-13.8	0	1.1	37	0	0	0	2000	0	0	0	0	0	9.2	174
6	24	-13.1	0	0	226	0	0	0	0	0	0	0	0	0	0	229
0.9	35.1	0	0	1.9	0	0	0	0	2000	0	0	0	0	0	0	0
26.1	93	24.9	0	0.3	96	0	0	0	1652	0 	0 	0	0 	0 	2.1	251
4.9	35	-9.1	0	1.4	202	0	0	0	4829	0	0 	0	0 	0 	2.8	333
1	20	-19.5	1	1.8	312	0.4	0.6	0.2	17708	0	0 	4	0 	0 	4.6	103
5.3	22	-14.9	0	2.8	169	0	0	0	4755	0 	0 	0	0 	0 	5.1	224
27.4	89	25.4	0	1.1	106	0	0	0 	0 	0 	0 	0	0 	0 	5.5	232
5.6	20	-15.9	0	0.9	85	0	0	0	10360	0 	0 	0	0 	0 	2.9	257
5.8	17	-17.6	0	1.4	155	0	0	0	7154	0 	0 	0	0 	0 	4.5	333
5.5	15	-18.8	0	2.2	128	0	0	0	20000	0 	0 	0	0 	0	5.3	223
-8.3	69	-13	0	0.6	291	0	0	0	2000	0	0	0	0	0	57.3	109
